ratio,random_state,accuracy
0.5,0,0.697171381031614
0.5,1,0.7870216306156406
0.5,2,0.6405990016638935
0.6,0,0.8219633943427621
0.6,1,0.78369384359401
0.6,2,0.5357737104825291
0.7,0,0.7653910149750416
0.7,1,0.7603993344425957
0.7,2,0.8053244592346089
0.8,0,0.7986688851913477
0.8,1,0.7587354409317804
0.8,2,0.870216306156406
0.9,0,0.778702163061564
0.9,1,0.8985024958402662
0.9,2,0.8186356073211315
1,0,0.8801996672212978
1,2,0.8369384359400999
0.5,3,0.7138103161397671
0.5,4,0.7753743760399334
0.5,5,0.7221297836938436
0.5,6,0.6672212978369384
0.5,7,0.8019966722129783
0.5,8,0.697171381031614
0.5,9,0.7221297836938436
0.6,3,0.6921797004991681
0.6,4,0.7953410981697171
0.6,5,0.7420965058236273
0.6,6,0.7254575707154742
0.6,7,0.8103161397670549
0.6,8,0.8169717138103162
0.6,9,0.7504159733777038
0.7,3,0.7287853577371048
0.7,4,0.7653910149750416
0.7,5,0.8036605657237936
0.7,6,0.7737104825291181
0.7,7,0.8153078202995009
0.7,8,0.7653910149750416
0.7,9,0.8036605657237936
0.8,3,0.8336106489184693
0.8,4,0.7903494176372712
0.8,5,0.8069883527454242
0.8,6,0.78369384359401
0.8,7,0.7321131447587355
0.8,8,0.7853577371048253
0.8,9,0.7221297836938436
0.9,3,0.7953410981697171
0.9,4,0.848585690515807
0.9,5,0.7537437603993344
0.9,6,0.8119800332778702
0.9,7,0.870216306156406
0.9,8,0.8153078202995009
0.9,9,0.7853577371048253
1,4,0.8219633943427621
1,6,0.8768718801996672
1,8,0.8419301164725458
