ratio,random_state,accuracy
0.3,0,0.9904761904761905
0.3,1,0.9142857142857143
0.3,2,0.9047619047619048
0.4,0,0.9809523809523809
0.4,1,0.9619047619047619
0.4,2,0.9809523809523809
0.5,0,0.9714285714285714
0.5,1,0.9238095238095239
0.5,2,0.9809523809523809
0.6,0,0.9809523809523809
0.6,1,0.9714285714285714
0.6,2,0.9333333333333333
0.7,0,0.9714285714285714
0.7,1,0.9714285714285714
0.7,2,0.9714285714285714
0.8,0,0.9809523809523809
0.8,1,0.9619047619047619
0.8,2,0.9904761904761905
0.9,0,0.9809523809523809
0.9,1,1.0
0.9,2,0.9809523809523809
1,0,0.9714285714285714
1,2,0.9809523809523809
0.3,3,0.9714285714285714
0.3,4,0.9714285714285714
0.3,5,0.9523809523809523
0.3,6,0.9523809523809523
0.3,7,0.9523809523809523
0.3,8,0.9809523809523809
0.3,9,0.9619047619047619
0.4,3,0.9809523809523809
0.4,4,1.0
0.4,5,0.9142857142857143
0.4,6,0.9714285714285714
0.4,7,0.9619047619047619
0.4,8,0.9714285714285714
0.4,9,0.9714285714285714
0.5,3,0.9619047619047619
0.5,4,1.0
0.5,5,0.9904761904761905
0.5,6,0.9619047619047619
0.5,7,0.9809523809523809
0.5,8,0.9619047619047619
0.5,9,0.9809523809523809
0.6,3,0.9619047619047619
0.6,4,0.9904761904761905
0.6,5,0.9904761904761905
0.6,6,0.9714285714285714
0.6,7,0.9619047619047619
0.6,8,0.9428571428571428
0.6,9,0.9619047619047619
0.7,3,0.9904761904761905
0.7,4,0.9809523809523809
0.7,5,0.9714285714285714
0.7,6,0.9904761904761905
0.7,7,0.9714285714285714
0.7,8,0.9904761904761905
0.7,9,0.9809523809523809
0.8,3,0.9619047619047619
0.8,4,0.9904761904761905
0.8,5,1.0
0.8,6,0.9714285714285714
0.8,7,0.9619047619047619
0.8,8,0.9904761904761905
0.8,9,0.9809523809523809
0.9,3,0.9619047619047619
0.9,4,0.9809523809523809
0.9,5,0.9904761904761905
0.9,6,1.0
0.9,7,0.9809523809523809
0.9,8,1.0
0.9,9,0.9904761904761905
1,4,0.9714285714285714
1,6,0.9809523809523809
1,8,0.9809523809523809
