ratio,random_state,accuracy
0.4,0,0.7521865889212828
0.4,1,0.749271137026239
0.4,2,0.2915451895043732
0.5,0,0.7900874635568513
0.5,1,0.7463556851311953
0.5,2,0.685131195335277
0.6,0,0.7638483965014577
0.6,1,0.7405247813411079
0.6,2,0.7346938775510204
0.7,0,0.7405247813411079
0.7,1,0.7696793002915452
0.7,2,0.7667638483965015
0.8,0,0.760932944606414
0.8,1,0.7551020408163265
0.8,2,0.7521865889212828
0.9,0,0.7638483965014577
0.9,1,0.749271137026239
0.9,2,0.7551020408163265
1,0,0.7551020408163265
1,2,0.7551020408163265
0.4,3,0.6501457725947521
0.4,4,0.2915451895043732
0.4,5,0.7521865889212828
0.4,6,0.6443148688046647
0.4,7,0.7551020408163265
0.4,8,0.7696793002915452
0.4,9,0.34402332361516036
0.5,3,0.7521865889212828
0.5,4,0.5947521865889213
0.5,5,0.7667638483965015
0.5,6,0.7405247813411079
0.5,7,0.7725947521865889
0.5,8,0.7463556851311953
0.5,9,0.2594752186588921
0.6,3,0.7551020408163265
0.6,4,0.7580174927113703
0.6,5,0.7696793002915452
0.6,6,0.7638483965014577
0.6,7,0.7551020408163265
0.6,8,0.7638483965014577
0.6,9,0.7696793002915452
0.7,3,0.7288629737609329
0.7,4,0.7551020408163265
0.7,5,0.7580174927113703
0.7,6,0.7667638483965015
0.7,7,0.7842565597667639
0.7,8,0.7346938775510204
0.7,9,0.7638483965014577
0.8,3,0.7638483965014577
0.8,4,0.7551020408163265
0.8,5,0.7551020408163265
0.8,6,0.7638483965014577
0.8,7,0.7580174927113703
0.8,8,0.7667638483965015
0.8,9,0.760932944606414
0.9,3,0.7521865889212828
0.9,4,0.7580174927113703
0.9,5,0.7667638483965015
0.9,6,0.7405247813411079
0.9,7,0.7580174927113703
0.9,8,0.7638483965014577
0.9,9,0.760932944606414
1,4,0.7551020408163265
1,6,0.7551020408163265
1,8,0.7551020408163265
