ratio,random_state,accuracy
0.1,0,0.9015873015873016
0.1,1,0.9968253968253968
0.1,2,0.8539682539682539
0.2,0,0.8793650793650793
0.2,1,0.8920634920634921
0.2,2,0.9746031746031746
0.3,0,0.8920634920634921
0.3,1,0.8952380952380953
0.3,2,0.9746031746031746
0.4,0,0.8825396825396825
0.4,1,0.8920634920634921
0.4,2,0.8825396825396825
0.5,0,0.8920634920634921
0.5,1,0.8857142857142857
0.5,2,0.9079365079365079
0.6,0,0.8920634920634921
0.6,1,0.8857142857142857
0.6,2,0.8857142857142857
0.7,0,0.8857142857142857
0.7,1,0.8920634920634921
0.7,2,0.8857142857142857
0.8,0,0.8857142857142857
0.8,1,0.8857142857142857
0.8,2,0.8857142857142857
0.9,0,0.8920634920634921
0.9,1,0.8857142857142857
0.9,2,0.8920634920634921
1,0,0.8857142857142857
1,2,0.8857142857142857
0.1,3,0.8222222222222222
0.1,4,0.9079365079365079
0.1,5,0.9841269841269841
0.1,6,0.8761904761904762
0.1,7,0.8761904761904762
0.1,8,0.926984126984127
0.1,9,0.7682539682539683
0.2,3,0.9492063492063492
0.2,4,0.8857142857142857
0.2,5,0.8825396825396825
0.2,6,0.8634920634920635
0.2,7,0.8857142857142857
0.2,8,0.946031746031746
0.2,9,0.8825396825396825
0.3,3,0.9809523809523809
0.3,4,0.8698412698412699
0.3,5,0.8920634920634921
0.3,6,0.9079365079365079
0.3,7,0.8920634920634921
0.3,8,0.8857142857142857
0.3,9,0.8444444444444444
0.4,3,0.926984126984127
0.4,4,0.8920634920634921
0.4,5,0.8920634920634921
0.4,6,0.8857142857142857
0.4,7,0.9079365079365079
0.4,8,0.8920634920634921
0.4,9,0.8857142857142857
0.5,3,0.8920634920634921
0.5,4,0.8857142857142857
0.5,5,0.8920634920634921
0.5,6,0.8920634920634921
0.5,7,0.8857142857142857
0.5,8,0.8761904761904762
0.5,9,0.8920634920634921
0.6,3,0.8920634920634921
0.6,4,0.8825396825396825
0.6,5,0.8920634920634921
0.6,6,0.8857142857142857
0.6,7,0.9079365079365079
0.6,8,0.8825396825396825
0.6,9,0.8825396825396825
0.7,3,0.8920634920634921
0.7,4,0.8920634920634921
0.7,5,0.8984126984126984
0.7,6,0.8857142857142857
0.7,7,0.8857142857142857
0.7,8,0.8920634920634921
0.7,9,0.8920634920634921
0.8,3,0.8857142857142857
0.8,4,0.8920634920634921
0.8,5,0.8857142857142857
0.8,6,0.8857142857142857
0.8,7,0.8920634920634921
0.8,8,0.8857142857142857
0.8,9,0.8857142857142857
0.9,3,0.8920634920634921
0.9,4,0.8857142857142857
0.9,5,0.8920634920634921
0.9,6,0.8857142857142857
0.9,7,0.8920634920634921
0.9,8,0.8920634920634921
0.9,9,0.8920634920634921
1,4,0.8857142857142857
1,6,0.8857142857142857
1,8,0.8857142857142857
