ratio,random_state,accuracy
0.2,0,0.706140350877193
0.2,1,0.6885964912280702
0.2,2,0.47368421052631576
0.3,0,0.868421052631579
0.3,1,0.7456140350877193
0.3,2,0.7587719298245614
0.4,0,0.8464912280701754
0.4,1,0.8947368421052632
0.4,2,0.8157894736842105
0.5,0,0.8947368421052632
0.5,1,0.8596491228070176
0.5,2,0.8947368421052632
0.6,0,0.9298245614035088
0.6,1,0.793859649122807
0.6,2,0.8903508771929824
0.7,0,0.9342105263157895
0.7,1,0.8771929824561403
0.7,2,0.8903508771929824
0.8,0,0.9517543859649122
0.8,1,0.9692982456140351
0.8,2,0.8947368421052632
0.9,0,0.9385964912280702
0.9,1,0.8859649122807017
0.9,2,0.9649122807017544
1,0,0.9473684210526315
1,2,0.956140350877193
0.2,3,0.868421052631579
0.2,4,0.7412280701754386
0.2,5,0.7763157894736842
0.2,6,0.7719298245614035
0.2,7,0.8157894736842105
0.2,8,0.6578947368421053
0.2,9,0.7675438596491229
0.3,3,0.9342105263157895
0.3,4,0.7324561403508771
0.3,5,0.7543859649122807
0.3,6,0.8991228070175439
0.3,7,0.8157894736842105
0.3,8,0.8991228070175439
0.3,9,0.8070175438596491
0.4,3,0.8859649122807017
0.4,4,0.8114035087719298
0.4,5,0.8552631578947368
0.4,6,0.9210526315789473
0.4,7,0.8421052631578947
0.4,8,0.8771929824561403
0.4,9,0.8508771929824561
0.5,3,0.9429824561403509
0.5,4,0.7850877192982456
0.5,5,0.8903508771929824
0.5,6,0.9166666666666666
0.5,7,0.8464912280701754
0.5,8,0.9298245614035088
0.5,9,0.9429824561403509
0.6,3,0.8859649122807017
0.6,4,0.9078947368421053
0.6,5,0.9122807017543859
0.6,6,0.9122807017543859
0.6,7,0.9473684210526315
0.6,8,0.9122807017543859
0.6,9,0.9473684210526315
0.7,3,0.8991228070175439
0.7,4,0.9385964912280702
0.7,5,0.9473684210526315
0.7,6,0.9298245614035088
0.7,7,0.9342105263157895
0.7,8,0.9473684210526315
0.7,9,0.9078947368421053
0.8,3,0.9035087719298246
0.8,4,0.881578947368421
0.8,5,0.9210526315789473
0.8,6,0.9736842105263158
0.8,7,0.8903508771929824
0.8,8,0.956140350877193
0.8,9,0.9078947368421053
0.9,3,0.9298245614035088
0.9,4,0.956140350877193
0.9,5,0.9254385964912281
0.9,6,0.9210526315789473
0.9,7,0.9254385964912281
0.9,8,0.8552631578947368
0.9,9,0.9429824561403509
1,4,0.9692982456140351
1,6,0.956140350877193
1,8,0.9517543859649122
